Name,type,Designation,Party,District,Person name,Occupation,Contact
Middlesex,county,Assemblyman,(R),District-12,Robert D. Clifton,"Director of Local Government Affairs, Comcast Cable","935 Highway 34, Suite 3B, Matawan, NJ07747|Phone:(732) 970-6386"
Middlesex,county,Assemblyman,(R),District-12,Ronald S. Dancer,Legislator,"405 Rt. 539, Cream Ridge, NJ08514|Phone:(609) 758-0205|2110 West County Line Rd., Jackson, NJ08527|Phone:(609) 758-0205"
Middlesex,county,Assemblyman,(D),District-14,Daniel R. Benson,Consultant,"3691A Nottingham Way, Hamilton Square, NJ08690|Phone:(609) 631-0198"
Middlesex,county,Assemblyman,(D),District-14,Wayne P. DeAngelo,President/Assistant Business Manager at IBEW,"4621A Nottingham Way, Hamilton, NJ08690|Phone:(609) 631-7501"
Middlesex,county,Assemblyman,(D),District-16,Roy Freiman,Legislator,"(Temporary) 50 Division St., Suite 200, Somerville, NJ08876|Phone:(908) 450 -7064"
Middlesex,county,Assemblyman,(D),District-16,Andrew Zwicker,"Head of Science Education Department, Plasma Physics Laboratory Princeton University","23 Orchard Road, Suite 170, Skillman, NJ08558|Phone:(609) 454-3147|Fax:(609) 580-1679"
Middlesex,county,Assemblyman,(D),District-17,Joe Danielsen,"Owner, Network Blade L.L.C.","334 Elizabeth Ave., Somerset, NJ08873|Phone:(732) 247-3999"
Middlesex,county,Assemblyman,(D),District-17,Joseph V. Egan,"Business Manager, I.B.E.W. Local Union No. 456","100 Bayard St., New Brunswick, NJ08901|Phone:(732) 249-4550|Fax:(732) 249-6426"
Middlesex,county,Assemblyman,(D),District-18,Robert J. Karabinchak,"President, Tri-Form Construction, Inc.","3 Stephenville Pkwy., Suite 2D, Edison, NJ08820|Phone:(732) 548-1406"
Middlesex,county,Assemblywoman,(D),District-18,Nancy J. Pinkin,"Health Consultant and Association Management, Pinkin Associates, Inc.","3 Stephenville Pkwy., Suite 2D, Edison, NJ08820|Phone:(732) 548-1406"
Middlesex,county,Assemblyman,(D),District-19,Craig J. Coughlin,"Attorney, Private Practice","569 Rahway Ave., Woodbridge, NJ07095|Phone:(732) 855-7441|Fax:(732) 855-7588"
Middlesex,county,Assemblywoman,(D),District-19,Yvonne Lopez,"Executive Director/CEO, PRAHD","211 Front St., Perth Amboy, NJ08861|Phone:(732) 638-5057|Fax:(848) 203-3508"
Middlesex,county,Assemblyman,(D),District-22,Jerry Green,Business Consultant,"200 West 2nd Street, Suite 102, Plainfield, NJ07060|Phone:(908) 561-5757|Fax:(908) 561-5547"
Middlesex,county,Assemblyman,(D),District-22,James J. Kennedy,"Principal, Skye Consulting L.L.C.","34 E. Cherry St., Rahway, NJ07065|Phone:(732) 943-2660|Fax:(732) 827-5916"
