Merchant Transaction Free Text,Merchant Name
LANDMARK HOTEL - RIQQA DUBAI         AE,LANDMARK HOTEL - RIQQA
COSTA COFFEE           DUBAI         AE,COSTA BR OF MMI 2
SALAM STUDIO & STORES  DUBAI         AE,SALAM STUDIO&STORES
SKELMORE HOSPITALITY-M DUBAI         AE,SKELMORE HOSPITALITY-MELC
ZORION TRADING         DUBAI         AE,ZORION TRADING  -257201
BUSINESS SYSTEMS HOUSE FZ LLC,
ZHONE TECHNOLOGIES INTERNATIONAL INC,
DIAL A NAIL-PALM BR    DUBAI         AE,DIAL A NAIL-PALM BR
EMIRATES    1762300635 DUBAI         AE,EMIRATES
METLIFE UAE,
ADIDAS EMERGING MARKET DUBAI         AE,ADIDAS EMERGING -191406
JUICY AVENUE CAFE      DUBAI         AE,JUICY AVENUE CAFE
HARVEY NICHOLS (DUBAI) DUBAI         AE,HARVEY NICHOLS (DUBAI)LLC
CHOCO'A LLC            DUBAI         AE,CHOCO'A LLC
CNC DUB CORP ACTION SUS AC,
FONOGRAF CAFE & RESTAU DUBAI         AE,FONOGRAF CAFE & RESTAU
KISMAT ENERGY DMCC,
ADNIC DISBURSEMENT ACCOUNT,
APPAREL LLC            DUBAI         AE,APPAREL LLC     -390504
ADAC ABU DHABI AIRPORTS COMPANY,
AMANA CONTRACTING,
FOOD MARK LLC          DUBAI         AE,FOOD MARK LLC   -541002
OASIS AUTO PARTS LLC   DUBAI         AE,OASIS AUTO PARTS LLC
TAQADO RESTAURANT      DUBAI         ARE,TAQADO RESTAURANT
SHANGRI-LA DUBAI HOTEL DUBAI         AE,SHANG PALACE
JONES LANG LASALLE UAE LIMITED,
MAN SE,
TRANSGUARD GROU,
MAMAESH PASTRY         DUBAI         AE,MAMAESH PASTRY
M UAE EX HANGE ENTRE LL,
ARYA CLINIC            DUBAI         AE,ARYA CLINIC
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -051115
SHELL TREASURY CENTRE LIMITED,
ASSOCIATED FOREIGN EXCHANGE,
MADAREK LLC            DUBAI         AE,MADAREK LLC     -711949
LUCKYS PIZZA           DUBAI         ARE,LUCKYS PIZZA
LIFESTYLE BR           DUBAI         AE,LIFESTYLE BR    -154880
ALTO MAR RESTAURANT LL DUBAI         AE,ALTO MAR RESTAURANT LL
DAISO JAPAN VALUE STOR DUBAI         AE,DAISO JAPAN VALU-051227
LOUIS BERGER SAS,
SEAN CONNOLLY AT DUBAI DUBAI         AE,SEAN CONNOLLY AT DUBAI
BOSPORUS GOURMET REST. DUBAI         ARE,BOSPORUS GOURMET REST.
COMZEST TRADING FZC,
MALABAR SUPERMARKET    DUBAI         AE,MALABAR SUPERMARKET
SKI DUBAI              DUBAI         AE,SKI DUBAI 1
MCDONALDS-ENOC 1092    DUBAI         AE,MCDONALDS-ENOC 1092
TEPCO FUEL AND POWER INCORPORATE,
FRENCH DEPARTMENT STOR DUBAI         AE,GALERIES LAFAYETTE
DANUBE HOME LLC        DUBAI         AE,DANUBE HOME LLC
CHEZ CHARLES RESTAURAN DUBAI         AE,CHEZ CHARLES RESTAURAN
THE CHOCOLATE BOUTIQUE ABU DHABI     AE,THE CHOCOLATE BOUTIQUE
STARBUCKS CC 3869      DUBAI         AE,STARBUCKS CC 386-491009
HSBC,
CIE STGOBAIN AVENUE DALSACE COURBEVOIE,
BLUE MANDARINE RESTAUR DUBAI         AE,BLUE MANDARINE RESTAURANT
STEIGENBERGER HOTEL BU DUBAI         AE,STEIGENBERGER HOTEL BU
LEO BURNETT FZ LLC,
NORTHERN TRUSTTRUSTEE,
BISSAN DENTAL CENTER L DUBAI         AE,BISSAN DENTAL CENTER LLC
BB ALMARAI COMPANY,
ETIHAD ETISALAT COMPANY MOBILY OLAYA STREET KINGDOM CENTER,
MCDONALDS-54002        DUBAI         ARE,MCDONALDS-54002
REGENT PALACE HOTEL    DUBAI         AE,REGENT PALACE HOTEL
MOSCOW HOTEL           DUBAI         AE,MOSCOW HOTEL
VIDA DOWNTOWN DUBAI HO DUBAI         AE,VIDA DOWNTOWN DUBAI HOTEL
EPIC MIDDLE EAST FZ LLC,
BURBERRY MIDDLE EAST LLC,
EMARAT-AL AMEEN(6635)  DUBAI         AE,EMARAT-AL AMEEN - 6635
FOUR POINTS BY SHERATO DUBAI         AE,FOUR POINTS BY SHERATO
GRAND STORES SAMSONITE DUBAI         AE,GRAND STORES SAMSONITE
TREASURY HOLDING COMPANY,
SNOOKER WORLD          DUBAI         AE,SNOOKER WORLD
SAROJA RESTAURANT & CA DUBAI         AE,SAROJA RESTAURANT & CAFE
RICHEMONT DUBAI FZE,
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-762403
ROSSOVIVO ARTISAN PIZZ DUBAI         AE,CULINARIA
ANGELINA RESTARANT LLC DUBAI         AE,ANGELINA RESTARANT LLC
CREATIVE MINDS GENERAL DUBAI         AE,CREATIVE MINDS GEN TRD
EVERSENDAI OFFSHORE RMC FZE,
ONE SHARE PLC,
TMF SERVICES,
GRANDEUR HOTEL         DUBAI         AE,GRANDEUR HOTEL
SUDANESE MOBILE TELEPHONE COMPANY LIMITED,
WATER GRILL FACILITIES DUBAI         ARE,WATER GRILL FACILITIES
F.G.E THE WAREHOUSE    DUBAI         AE,FALAKNAZ-THE WAREHOUSE
SPINNEYS DUBAI LLC     DUBAI         AE,SPINNEYS DUBAI LLC 28
FOUR POINTS BY SHERATO DUBAI         AE,LEVEL 43 - FOUR POINTS
FRESH WELL SUPERMARKET DUBAI         ARE,FRESH WELL SUPERMARKET
E I T TELECOM -DU      DUBAI         AE,E I T TELECOM -D-136562
GULF COAL TRADING LLC,
NTDE-SMOKERS CENTER    DUBAI         AE,NTDE-SMOKERS CEN-264101
PICCOLO MONDO BAY REST DUBAI         AE,PICCOLO MONDO BAY REST.
TARGET ENGINEERING CONSTRUCTION RU COMPANY LLC,
BEIN SPORTS,
TOKO RESTAURANT LLC    DUBAI         AE,TOKO RESTAURANT LLC
CANADIAN UNIVERSITY OF DUBAI         AE,CANADIAN UNIVERSITY OF
MANCHESTER TYRE TRDG L DUBAI         AE,MANCHESTER TYRE -724501
SPEED WAY AUTO SPARE P DUBAI         AE,SPEED WAY AUTO S-474609
GOVINDAS RESTAURANT    DUBAI         AE,GOVINDAS RESTAURANT
ETISALAT-DXB-AL WASL 1 DUBAI         ARE,ETISALAT-DXB-AL WASL 1
GRAND AL KAUSAR PHARMA DUBAI         AE,GRAND AL KAUSAR PHARMA
BAY SQUARE HOTEL LLC   DUBAI         AE,BAY SQUARE HOTEL-225819
IBIS DEIRA CITY CENTRE DUBAI         AE,IBIS DEIRA CITY CENTRE
UASC UNITED ARAB SHIPPING COMPANY SAG AIRPORT ROAD SAFAT KUWAIT,
SUPREME CHI ENERGY SPA DUBAI         AE,SUPREME CHI ENERGY SPA
AL JAZEERA FURNIURE    ABU DHABI     AE,AL JAZEERA FURNITURE
RITZ RENT A CAR LLC    DUBAI         AE,RITZ RENT A CAR LLC
HEALTH BAY POLYCLINIC  DUBAI         ARE,HEALTH BAY POLYCLINIC
