Merchant Transaction Free Text (Input),Merchan name ,Address,Phone,Google Review,Website URL ,Direction URL 
LANDMARK HOTEL RIQQA DUBAI AE,Landmark Hotel Riqqa,"Address: Al Jazira Street, Deira - Dubai - United Arab Emirates ",Phone:  +971 4 294 6677,3.8 421 Google reviews,https://www.landmarkhotels.com/ar/landmark-riqqa_ar/,https://www.google.com/search?source=hp&ei=0CWSXOiwKcjGjwSM74Iw&q=LANDMARK+HOTEL+RIQQA+DUBAI+AE&oq=LANDMARK+HOTEL+RIQQA+DUBAI+AE&gs_l=psy-ab.3...2142.2403..2427...0.0..0.0.0.......0....1..gws-wiz.....0.#
COSTA COFFEE DUBAI AE,,,,,,
SALAM STUDIO STORES DUBAI AE,Salam Studio & Stores,Address: Dubai - United Arab Emirates Hours: Open ⋅ Closes 10PM  ,Phone:  +971 4 704 8484,5.0 5 Google reviews,http://www.salams.com/,https://www.google.com/search?source=hp&ei=6SWSXLruH4LcjwSni5LIAw&q=SALAM+STUDIO+STORES+DUBAI+AE&oq=SALAM+STUDIO+STORES+DUBAI+AE&gs_l=psy-ab.3...1627.1895..1914...0.0..0.0.0.......0....1..gws-wiz.....0.#
SKELMORE HOSPITALITYM DUBAI AE,Skelmore Group,"Address: Skeikh Sayed Road, Near Noor Islamic Bank Metro Station - Al Quoz - United Arab Emirates Hours: Open ⋅ Closes 6PM  ",Phone:  +971 4 339 5922,4.2 5 Google reviews,http://www.skelmore.com/,https://www.google.com/search?source=hp&ei=9SWSXJWrJOGkjwT5_rb4Cg&q=SKELMORE+HOSPITALITYM+DUBAI+AE&oq=SKELMORE+HOSPITALITYM+DUBAI+AE&gs_l=psy-ab.3...1903.2217..2242...0.0..0.0.0.......0....1..gws-wiz.....0.#
ZORION TRADING DUBAI AE,,,,,,
BUSINESS SYSTEMS HOUSE FZ LLC,,,,,,
ZHONE TECHNOLOGIES INTERNATIONAL INC,,,,,,
DIAL A NAILPALM BR DUBAI AE,,,,,,
EMIRATES 1762300635 DUBAI AE,,,,,,
METLIFE UAE,,,,,,
ADIDAS EMERGING MARKET DUBAI AE,adidas Emerging Markets LLC,Address: U Bora Towers Guest Parking - Al Abraj St - Dubai - United Arab Emirates Hours: Open ⋅ Closes 6PM  ,Phone:  +971 4 512 3500,3.0 3 Google reviews,http://www.adidas-group.com/,https://www.google.com/search?source=hp&ei=WyaSXLqbJcvWjgSOwqeYAQ&q=ADIDAS+EMERGING+MARKET+DUBAI+AE&oq=ADIDAS+EMERGING+MARKET+DUBAI+AE&gs_l=psy-ab.3...1818.2148..2178...0.0..0.0.0.......0....1..gws-wiz.....0.#
JUICY AVENUE CAFE DUBAI AE,Juicy Avenue,,,2.8 5 Google reviews,,https://www.google.com/search?source=hp&ei=ZyaSXP2MO6XcjwTDpLCwDQ&q=JUICY+AVENUE+CAFE+DUBAI+AE&oq=JUICY+AVENUE+CAFE+DUBAI+AE&gs_l=psy-ab.3...2036.2416..2436...0.0..0.0.0.......0....1..gws-wiz.....0.#
