Name,type,person name,designation,Contact details
East Brunswick,Township,POLICE EMERGENCY,,911
East Brunswick,Township,POLICE NON-EMERGENCY,,732-390-6900
East Brunswick,Township,Administration,,732-390-6810
East Brunswick,Township,Assessing,,732-390-6845
East Brunswick,Township,Clerk's Office,,732-390-6850
East Brunswick,Township,Construction Inspection,,732-390-6875
East Brunswick,Township,Court,,732-390-6915
East Brunswick,Township,"Finance,Accounts Payable,Payroll",,"732-390-6860,732-390-6855,732-390-6849"
East Brunswick,Township,"Fire Companies,East Brunswick Fire District I,East Brunswick Independent Fire District II,Brookview Volunteer Fire Company",,"732-257-1505,732-254-2418,732-238-1966"
East Brunswick,Township,Human Resources,,732-390-6820
East Brunswick,Township,Information Technology,,732-390-6865
East Brunswick,Township,Library,,732-390-6950
East Brunswick,Township,Parking Utility,,732-390-6836
East Brunswick,Township,Parks,,732-390-6806
East Brunswick,Township,Planning and Engineering,,732-390-6870
East Brunswick,Township,"Police Front Desk,Animal Control,Police Records",,"732-390-6916,732-390-6960,732-390-6922"
East Brunswick,Township,"Public Works,Garbage",,"732-390-6884,732-390-6984"
East Brunswick,Township,"Recreation,Crystal Springs",,"732-390-6797,732-390-6833"
East Brunswick,Township,Recycling,,732-390-6984
East Brunswick,Township,"Revenue,Tax Billing,Water and Sewer Billing",,"732-390-6835,732-390-6824"
East Brunswick,Township,Senior Center,,732-390-6896
East Brunswick,Township,"Water and Sewer Utility,Sewer Maintenance",,"732-257-8313,732-257-1878"
